# Copyright (c) 1966-2021 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2021-08-29
# Phenotypic Series Number	MIM Number	Phenotype
PS100070	Aortic aneurysm, familial abdominal
PS100070	100070	Aortic aneurysm, familial abdominal 1
PS100070	609782	Aortic aneurysm, familial abdominal 2
PS100070	611891	{Aneurysm, familial abdominal 3}
PS100070	614375	Aortic aneurysm, familial abdominal, 4
PS100300	Adams-Oliver syndrome
PS100300	100300	Adams-Oliver syndrome 1
PS100300	614219	Adams-Oliver syndrome 2
PS100300	614814	Adams-Oliver syndrome 3
PS100300	615297	Adams-Oliver syndrome 4
PS100300	616028	Adams-Oliver syndrome 5
PS100300	616589	Adams-Oliver syndrome 6
PS101800	Acrodysostosis
PS101800	101800	Acrodysostosis 1, with or without hormone resistance
PS101800	614613	Acrodysostosis 2, with or without hormone resistance
PS102200	Pituitary adenoma
PS102200	102200	Pituitary adenoma predisposition
PS102200	102200	Pituitary adenoma 1, multiple types
PS102200	219090	Pituitary adenoma 4, ACTH-secreting, somatic
PS102200	300943	Pituitary adenoma 2, GH-secreting
PS102200	617540	{Pituitary adenoma 5, multiple types}
PS102200	617686	Pituitary adenoma 3, multiple types, somatic
PS102300	Restless legs syndrome
PS102300	102300	{Restless legs syndrome 1}
PS102300	608831	{Restless legs syndrome 2}
PS102300	610438	{Restless legs syndrome 3}
PS102300	610439	{Restless legs syndrome 4}
PS102300	611185	{Restless legs syndrome 6}
PS102300	611242	{Restless legs syndrome 5}
PS102300	612853	{Restless legs syndrome 7}
PS102300	615197	{Restless legs syndrome 8}
PS103900	Hyperaldosteronism
PS103900	103900	Aldosteronism, glucocorticoid-remediable
PS103900	605635	Hyperaldosteronism, familial, type II
PS103900	613677	Hyperaldosteronism, familial, type III
PS103900	617027	Hyperaldosteronism, familial, type IV
PS104290	Alternating hemiplegia of childhood
PS104290	104290	Alternating hemiplegia of childhood 1
PS104290	614820	Alternating hemiplegia of childhood 2
PS104500	Amelogenesis imperfecta
PS104500	104500	Amelogenesis imperfecta, type IB
PS104500	104510	Amelogenesis imperfecta, type IV
PS104500	104530	Amelogenesis imperfecta, type IA
PS104500	130900	Amelogenesis imperfecta, type IIIA
PS104500	204650	Amelogenesis imperfecta, type IC
PS104500	204690	Amelogenesis imperfecta, type IG (enamel-renal syndrome)
PS104500	204700	Amelogenesis imperfecta, type IIA1
PS104500	301200	Amelogenesis imperfecta, type 1E
PS104500	301201	?Amelogenesis imperfecta, type IE, X-linked 2
PS104500	612529	Amelogenesis imperfecta, type IIA2
PS104500	613211	Amelogenesis imperfecta, type IIA3
PS104500	614832	Amelogenesis imperfecta, type IIA4
PS104500	615887	Amelogenesis imperfecta, type IIA5
PS104500	616221	Amelogenesis imperfecta, type IH
PS104500	616270	Amelogenesis imperfecta, type IF
PS104500	617217	Amelogenesis imperfecta, hypomaturation type, IIA6
PS104500	617297	Amelogenesis imperfecta, type IJ
PS104500	617607	?Amelogenesis imperfecta, type IIIB
PS104500	618386	Amelogenesis imperfecta, type IIIC
PS105250	Amyloidosis, primary localized cutaneous
PS105250	105250	Amyloidosis, primary localized cutaneous, 1
PS105250	613955	?Amyloidosis, primary localized cutaneous, 2
PS105250	617920	Amyloidosis, primary localized cutaneous, 3
PS105400	Amyotrophic lateral sclerosis
PS105400	105400	{Amyotrophic lateral sclerosis, susceptibility to}
PS105400	105400	Amyotrophic lateral sclerosis 1
PS105400	105400	?{Amyotrophic lateral sclerosis, susceptibility to}
PS105400	105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1
PS105400	183090	{Amyotrophic lateral sclerosis, susceptibility to, 13}
PS105400	183090	Spinocerebellar ataxia 2
PS105400	205100	Amyotrophic lateral sclerosis 2, juvenile
PS105400	205200	Amyotrophic lateral sclerosis, juvenile, with dementia
PS105400	300857	Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia
PS105400	600795	Frontotemporal dementia and/or amyotrophic lateral sclerosis 7
PS105400	602099	Amyotrophic lateral sclerosis 5, juvenile
PS105400	602433	Amyotrophic lateral sclerosis 4, juvenile
PS105400	606070	Amyotrophic lateral sclerosis 21
PS105400	606640	Amyotrophic lateral sclerosis 3
PS105400	608030	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia
PS105400	608031	Amyotrophic lateral sclerosis 7
PS105400	608627	Amyotrophic lateral sclerosis 8
PS105400	611895	Amyotrophic lateral sclerosis 9
PS105400	612069	Frontotemporal lobar degeneration, TARDBP-related
PS105400	612069	Amyotrophic lateral sclerosis 10, with or without FTD
PS105400	612577	Amyotrophic lateral sclerosis 11
PS105400	613435	Amyotrophic lateral sclerosis 12 with or without frontotemporal dementia
PS105400	613954	Frontotemporal dementia and/or amyotrophic lateral sclerosis 6
PS105400	614373	?Amyotrophic lateral sclerosis 16, juvenile
PS105400	614808	Amyotrophic lateral sclerosis 18
PS105400	615426	Amyotrophic lateral sclerosis 20
PS105400	615515	Amyotrophic lateral sclerosis 19
PS105400	615911	Frontotemporal dementia and/or amyotrophic lateral sclerosis 2
PS105400	616208	Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia
PS105400	616437	Frontotemporal dementia and/or amyotrophic lateral sclerosis 3
PS105400	616439	Frontotemporal dementia and/or amyotrophic lateral sclerosis 4
PS105400	617839	Amyotrophic lateral sclerosis 23
PS105400	617892	{Amyotrophic lateral sclerosis, susceptibility to, 24}
PS105400	617921	{Amyotrophic lateral sclerosis, susceptibility to, 25}
PS105400	619132	?Frontotemporal dementia and/or amyotrophic lateral sclerosis 8
PS105400	619141	Frontotemporal dementia and/or amyotrophic lateral sclerosis 5
PS105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis
PS105550	105550	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1
PS105550	600795	Frontotemporal dementia and/or amyotrophic lateral sclerosis 7
PS105550	613954	Frontotemporal dementia and/or amyotrophic lateral sclerosis 6
PS105550	615911	Frontotemporal dementia and/or amyotrophic lateral sclerosis 2
PS105550	616437	Frontotemporal dementia and/or amyotrophic lateral sclerosis 3
PS105550	616439	Frontotemporal dementia and/or amyotrophic lateral sclerosis 4
PS105550	619132	?Frontotemporal dementia and/or amyotrophic lateral sclerosis 8
PS105550	619141	Frontotemporal dementia and/or amyotrophic lateral sclerosis 5
PS105650	Diamond-Blackfan anemia
PS105650	105650	Diamond-Blackfan anemia 1
PS105650	300946	?Diamond-Blackfan anemia 14 with mandibulofacial dysostosis
PS105650	606129	Diamond-Blackfan anemia 2
PS105650	606164	Diamond Blackfan anemia 15 with mandibulofacial dysostosis
PS105650	610629	Diamond-blackfan anemia 3
PS105650	612527	Diamond-Blackfan anemia 4
PS105650	612528	Diamond-Blackfan anemia 5
PS105650	612561	Diamond-Blackfan anemia 6
PS105650	612562	Diamond-Blackfan anemia 7
PS105650	612563	Diamond-Blackfan anemia 8
PS105650	613308	Diamond-Blackfan anemia 9
PS105650	613309	Diamond-Blackfan anemia 10
PS105650	614900	?Diamond-Blackfan anemia 11
PS105650	615550	?Diamond-Blackfan anemia 12
PS105650	615909	Diamond-Blackfan anemia 13
PS105650	617408	?Diamond-Blackfan anemia 16
PS105650	617409	?Diamond-Blackfan anemia 17
PS105650	618310	?Diamond-Blackfan anemia 18
PS105650	618312	?Diamond-Blackfan anemia 19
PS105650	618313	?Diamond-Blackfan anemia 20
PS105800	Aneurysm, intracranial berry
PS105800	105800	Aneurysm, intracranial berry, 1
PS105800	300870	Aneurysm, intracranial berry, 5
PS105800	608542	Aneurysm, intracranial berry, 2
PS105800	609122	Aneurysm, intracranial berry, 3
PS105800	610213	Aneurysm, intracranial berry, 4
PS105800	611892	{Aneurysm, intracranial berry, 6}
PS105800	612161	Aneurysm, intracranial berry, 7
PS105800	612162	Aneurysm, intracranial berry, 8
PS105800	612586	{Aneurysm, intracranial berry, 9}
PS105800	612587	{Aneurysm, intracranial berry, 10}
PS105800	614252	Aneurysm, intracranial berry, 11
PS105800	618734	?Aneurysm, intracranial berry, 12
PS106100	Angioedema, Hereditary
PS106100	106100	Angioedema, hereditary, 1 and 2
PS106100	610618	Angioedema, hereditary, 3
PS106100	619360	Angioedema, hereditary, 4
PS106100	619361	?Angioedema, hereditary, 5
PS106100	619363	Angioedema, hereditary, 6
PS106100	619366	?Angioedema, hereditary, 7
PS106100	619367	?Angioedema, hereditary, 8
PS106210	Aniridia
PS106210	106210	Aniridia
PS106210	106210	Cataract with late-onset corneal dystrophy
PS106210	617141	?Aniridia 2
PS106210	617142	?Aniridia 3
PS106300	Spondyloarthropathy, susceptibility to
PS106300	106300	{Spondyloarthropathy, susceptibility to, 1}
PS106300	183840	{Spondyloarthropathy, susceptibility to, 2}
PS106300	613238	{Spondyloarthropathy, susceptibility to, 3}
PS106600	Tooth agenesis, selective
PS106600	106600	Tooth agenesis, selective, 1, with or without orofacial cleft
PS106600	150400	Tooth agenesis, selective, 4
PS106600	313500	Tooth agenesis, selective, X-linked 1
PS106600	602639	Tooth agenesis, selective, 2
PS106600	604625	Tooth agenesis, selective, 3
PS106600	610926	Tooth agenesis, selective, 5
PS106600	616724	Tooth agenesis, selective, 7
PS106600	617073	Tooth agenesis, selective, 8
PS106600	617275	Tooth agenesis, selective, 9
PS107250	Anterior segment dysgenesis
PS107250	107250	Anterior segment dysgenesis 1, multiple subtypes
PS107250	137600	Anterior segment dysgenesis 4
PS107250	269400	Anterior segment dysgenesis 7, with sclerocornea
PS107250	601631	Anterior segment dysgenesis 3, multiple subtypes
PS107250	604229	Anterior segment dysgenesis 5, multiple subtypes
PS107250	610256	Anterior segment dysgenesis 2, multiple subtypes
PS107250	617315	Anterior segment dysgenesis 6, multiple subtypes
PS107250	617319	Anterior segment dysgenesis 8
PS107480	Townes-Brocks syndrome
PS107480	107480	Townes-Brocks syndrome 1
PS107480	107480	Townes-Brocks branchiootorenal-like syndrome
PS107480	617466	?Townes-Brocks syndrome 2
PS107970	Arrhythmogenic right ventricular dysplasia
PS107970	107970	Arrhythmogenic right ventricular dysplasia 1
PS107970	600996	Arrhythmogenic right ventricular dysplasia 2
PS107970	602086	Arrhythmogenic right ventricular dysplasia 3
PS107970	602087	Arrhythmogenic right ventricular dysplasia 4
PS107970	604400	Arrhythmogenic right ventricular dysplasia 5
PS107970	604401	Arrhythmogenic right ventricular dysplasia 6
PS107970	607450	Arrhythmogenic right ventricular dysplasia 8
PS107970	609040	Arrhythmogenic right ventricular dysplasia 9
PS107970	610193	Arrhythmogenic right ventricular dysplasia 10
PS107970	610476	Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair
PS107970	610476	Arrhythmogenic right ventricular dysplasia 11
PS107970	611528	?Arrhythmogenic right ventricular dysplasia 12
PS107970	615616	Arrhythmogenic right ventricular dysplasia, familial, 13
PS107970	618920	Arrhythmogenic right ventricular dysplasia, familial, 14
PS108120	Arthrogryposis, distal
PS108120	108120	Arthrogryposis, distal, type 1A
PS108120	108120	Arthrogryposis, distal, type 2B4
PS108120	108145	Arthrogryposis, distal, type 5
PS108120	108200	Arthrogryposis, distal, type 6
PS108120	114300	Arthrogryposis, distal, type 3
PS108120	121050	Contractural arachnodactyly, congenital
PS108120	158300	Trismus-pseudocamptodactyly syndrome
PS108120	187370	Arthrogryposis, distal, type 10
PS108120	193700	Arthrogryposis, distal, type 2A (Freeman-Sheldon)
PS108120	601680	Arthrogryposis, distal, type 2B1
PS108120	609128	Arthrogryposis, distal, type 4
PS108120	614335	Arthrogryposis, distal, type 1B
PS108120	615065	Arthrogryposis, distal, type 5D
PS108120	618435	Arthrogryposis, distal, type 2B2
PS108120	618436	Arthrogryposis, distal, type 2B3 (Sheldon-Hall)
PS108120	619110	Arthrogryposis, distal, type 1C
PS108300	Stickler syndrome
PS108300	108300	Stickler syndrome, type I
PS108300	604841	Stickler syndrome, type II
PS108300	609508	Stickler sydrome, type I, nonsyndromic ocular
PS108300	614134	Stickler syndrome, type IV
PS108300	614284	?Stickler syndrome, type V
PS108600	Spastic ataxia
PS108600	108600	Spastic ataxia 1, autosomal dominant
PS108600	108650	Spastic ataxia 7, autosomal dominant
PS108600	270550	Spastic ataxia, Charlevoix-Saguenay type
PS108600	611302	Spastic ataxia 2, autosomal recessive
PS108600	611390	Spastic ataxia 3, autosomal recessive
PS108600	613672	?Spastic ataxia 4, autosomal recessive
PS108600	614487	Spastic ataxia 5, autosomal recessive
PS108600	617560	Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy
PS108600	618438	?Spastic ataxia 9, autosomal recessive
PS108720	Atelosteogenesis
PS108720	108720	Atelosteogenesis, type I
PS108720	108721	Atelosteogenesis, type III
PS108720	256050	De la Chapelle dysplasia
PS108720	256050	Atelosteogenesis, type II
PS108800	Atrial septal defect
PS108800	108800	Atrial septal defect 1
PS108800	108900	Atrial septal defect 7, with or without AV conduction defects
PS108800	607941	Atrial septal defect 2
PS108800	611363	Atrial septal defect 4
PS108800	612794	Atrial septal defect 5
PS108800	613087	Atrial septal defect 6
PS108800	614089	Atrial septal defect 3
PS108800	614433	Atrial septal defect 8
PS108800	614475	Atrial septal defect 9
PS109720	Biliary cirrhosis, primary
PS109720	109720	Biliary cirrhosis, primary, 1
PS109720	613007	{Biliary cirrhosis, primary, 2}
PS109720	613008	{Biliary cirrhosis, primary, 3}
PS109720	614220	Biliary cirrhosis, primary, 4
PS109720	614221	Biliary cirrhosis, primary, 5
PS109730	Aortic valve disease
PS109730	109730	Aortic valve disease 1
PS109730	614823	Aortic valve disease 2
PS109730	618496	Aortic valve disease 3
PS112240	Cole-Carpenter syndrome
