term_id	term_label	exclusion_reason	exclude_children
OMIM:100640	ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A1; ALDH1A1	MONDO:excludeNonDisease	TRUE
OMIM:100660	ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 1; ALDH3A1	MONDO:excludeNonDisease	TRUE
OMIM:100670	ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER B1; ALDH1B1	MONDO:excludeNonDisease	TRUE
OMIM:100678	ACETYL-CoA ACETYLTRANSFERASE 2; ACAT2	MONDO:excludeNonDisease	TRUE
OMIM:100690	CHOLINERGIC RECEPTOR, NICOTINIC, ALPHA POLYPEPTIDE 1; CHRNA1	MONDO:excludeNonDisease	TRUE
OMIM:100710	CHOLINERGIC RECEPTOR, NICOTINIC, BETA POLYPEPTIDE 1; CHRNB1	MONDO:excludeNonDisease	TRUE
OMIM:100720	CHOLINERGIC RECEPTOR, NICOTINIC, DELTA POLYPEPTIDE; CHRND	MONDO:excludeNonDisease	TRUE
OMIM:100725	CHOLINERGIC RECEPTOR, NICOTINIC, EPSILON POLYPEPTIDE; CHRNE	MONDO:excludeNonDisease	TRUE
OMIM:100730	CHOLINERGIC RECEPTOR, NICOTINIC, GAMMA POLYPEPTIDE; CHRNG	MONDO:excludeNonDisease	TRUE
OMIM:100740	ACETYLCHOLINESTERASE; ACHE	MONDO:excludeNonDisease	TRUE
OMIM:100790	ACHAETE-SCUTE FAMILY bHLH TRANSCRIPTION FACTOR 1; ASCL1	MONDO:excludeNonDisease	TRUE
OMIM:100850	ACONITASE, MITOCHONDRIAL; ACO2	MONDO:excludeNonDisease	TRUE
OMIM:100880	ACONITASE 1, SOLUBLE; ACO1	MONDO:excludeNonDisease	TRUE
OMIM:102480	ACROSIN; ACR	MONDO:excludeNonDisease	TRUE
OMIM:102525	ACROSOMAL VESICLE PROTEIN 1; ACRV1	MONDO:excludeNonDisease	TRUE
OMIM:102540	ACTIN, ALPHA, CARDIAC MUSCLE; ACTC1	MONDO:excludeNonDisease	TRUE
OMIM:102545	ACTIN, GAMMA-2, SMOOTH MUSCLE, ENTERIC; ACTG2	MONDO:excludeNonDisease	TRUE
OMIM:102560	ACTIN, GAMMA-1; ACTG1	MONDO:excludeNonDisease	TRUE
OMIM:102565	FILAMIN C; FLNC	MONDO:excludeNonDisease	TRUE
OMIM:102573	ACTININ, ALPHA-2; ACTN2	MONDO:excludeNonDisease	TRUE
OMIM:102574	ACTININ, ALPHA-3; ACTN3	MONDO:excludeNonDisease	TRUE
OMIM:102575	ACTININ, ALPHA-1; ACTN1	MONDO:excludeNonDisease	TRUE
OMIM:102576	ACTIVIN A RECEPTOR, TYPE I; ACVR1	MONDO:excludeNonDisease	TRUE
OMIM:102577	REPLICATION FACTOR C, SUBUNIT 4; RFC4	MONDO:excludeNonDisease	TRUE
OMIM:102578	ACUTE PROMYELOCYTIC LEUKEMIA, INDUCER OF; PML	MONDO:excludeNonDisease	TRUE
OMIM:102579	REPLICATION FACTOR C, SUBUNIT 1; RFC1	MONDO:excludeNonDisease	TRUE
OMIM:102581	ACTIVIN A RECEPTOR, TYPE IIA; ACVR2A	MONDO:excludeNonDisease	TRUE
OMIM:102582	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3; STAT3	MONDO:excludeNonDisease	TRUE
OMIM:102593	ACYLOXYACYL HYDROLASE; AOAH	MONDO:excludeNonDisease	TRUE
OMIM:102595	ACYLPHOSPHATASE 2, MUSCLE TYPE; ACYP2	MONDO:excludeNonDisease	TRUE
OMIM:102600	ADENINE PHOSPHORIBOSYLTRANSFERASE; APRT	MONDO:excludeNonDisease	TRUE
OMIM:102610	ACTIN, ALPHA, SKELETAL MUSCLE 1; ACTA1	MONDO:excludeNonDisease	TRUE
OMIM:102620	ACTIN, ALPHA-2, SMOOTH MUSCLE, AORTA; ACTA2	MONDO:excludeNonDisease	TRUE
OMIM:102630	ACTIN, BETA; ACTB	MONDO:excludeNonDisease	TRUE
OMIM:102642	STEROL O-ACYLTRANSFERASE 1; SOAT1	MONDO:excludeNonDisease	TRUE
OMIM:102645	ACYLAMINOACYL-PEPTIDE HYDROLASE; APEH	MONDO:excludeNonDisease	TRUE
OMIM:102670	MUCOSAL VASCULAR ADDRESSIN CELL ADHESION MOLECULE 1; MADCAM1	MONDO:excludeNonDisease	TRUE
OMIM:102680	ADDUCIN 1; ADD1	MONDO:excludeNonDisease	TRUE
OMIM:102681	ADDUCIN 2; ADD2	MONDO:excludeNonDisease	TRUE
OMIM:102720	DIPEPTIDYL PEPTIDASE IV; DPP4	MONDO:excludeNonDisease	TRUE
OMIM:102750	ADENOSINE KINASE; ADK	MONDO:excludeNonDisease	TRUE
OMIM:102770	ADENOSINE MONOPHOSPHATE DEAMINASE 1; AMPD1	MONDO:excludeNonDisease	TRUE
OMIM:102771	ADENOSINE MONOPHOSPHATE DEAMINASE 2; AMPD2	MONDO:excludeNonDisease	TRUE
OMIM:102772	ADENOSINE MONOPHOSPHATE DEAMINASE 3; AMPD3	MONDO:excludeNonDisease	TRUE
OMIM:102775	ADENOSINE A1 RECEPTOR; ADORA1	MONDO:excludeNonDisease	TRUE
OMIM:102776	ADENOSINE A2A RECEPTOR; ADORA2A	MONDO:excludeNonDisease	TRUE
OMIM:102910	ATP SYNTHASE F1, SUBUNIT BETA; ATP5F1B	MONDO:excludeNonDisease	TRUE
OMIM:102980	ADENYLATE CYCLASE-ACTIVATING POLYPEPTIDE 1; ADCYAP1	MONDO:excludeNonDisease	TRUE
OMIM:102981	ADCYAP RECEPTOR, TYPE I; ADCYAP1R1	MONDO:excludeNonDisease	TRUE
OMIM:103000	ADENYLATE KINASE 1; AK1	MONDO:excludeNonDisease	TRUE
OMIM:103020	ADENYLATE KINASE 2; AK2	MONDO:excludeNonDisease	TRUE
OMIM:103030	ADENYLATE KINASE 4; AK4	MONDO:excludeNonDisease	TRUE
OMIM:103060	ADENYLOSUCCINATE SYNTHETASE; ADSS	MONDO:excludeNonDisease	TRUE
OMIM:103070	ADENYLATE CYCLASE 8; ADCY8	MONDO:excludeNonDisease	TRUE
OMIM:103071	ADENYLATE CYCLASE 2; ADCY2	MONDO:excludeNonDisease	TRUE
OMIM:103072	ADENYLATE CYCLASE 1; ADCY1	MONDO:excludeNonDisease	TRUE
OMIM:103180	ADP-RIBOSYLATION FACTOR 1; ARF1	MONDO:excludeNonDisease	TRUE
OMIM:103188	ADP-RIBOSYLATION FACTOR 5; ARF5	MONDO:excludeNonDisease	TRUE
OMIM:103190	ADP-RIBOSYLATION FACTOR 3; ARF3	MONDO:excludeNonDisease	TRUE
OMIM:103195	PERILIPIN 2; PLIN2	MONDO:excludeNonDisease	TRUE
OMIM:103220	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, ADENINE NUCLEOTIDE TRANSLOCATOR), MEMBER 4; SLC25A4	MONDO:excludeNonDisease	TRUE
OMIM:103260	FERREDOXIN 1; FDX1	MONDO:excludeNonDisease	TRUE
OMIM:103270	FERREDOXIN REDUCTASE; FDXR	MONDO:excludeNonDisease	TRUE
OMIM:103275	ADRENOMEDULLIN; ADM	MONDO:excludeNonDisease	TRUE
OMIM:103280	H19, IMPRINTED MATERNALLY EXPRESSED NONCODING TRANSCRIPT; H19	MONDO:excludeNonDisease	TRUE
OMIM:103320	AGRIN; AGRN	MONDO:excludeNonDisease	TRUE
OMIM:103390	AHNAK NUCLEOPROTEIN; AHNAK	MONDO:excludeNonDisease	TRUE
OMIM:103600	ALBUMIN; ALB	MONDO:excludeNonDisease	TRUE
OMIM:103700	ALCOHOL DEHYDROGENASE 1A, CLASS I, ALPHA POLYPEPTIDE; ADH1A	MONDO:excludeNonDisease	TRUE
OMIM:103710	ALCOHOL DEHYDROGENASE 5, CHI POLYPEPTIDE; ADH5	MONDO:excludeNonDisease	TRUE
OMIM:103720	ALCOHOL DEHYDROGENASE 1B, CLASS I, BETA POLYPEPTIDE; ADH1B	MONDO:excludeNonDisease	TRUE
OMIM:103730	ALCOHOL DEHYDROGENASE 1C, GAMMA POLYPEPTIDE; ADH1C	MONDO:excludeNonDisease	TRUE
OMIM:103735	ALCOHOL DEHYDROGENASE 6; ADH6	MONDO:excludeNonDisease	TRUE
OMIM:103740	ALCOHOL DEHYDROGENASE 4; ADH4	MONDO:excludeNonDisease	TRUE
OMIM:103830	ALDO-KETO REDUCTASE FAMILY 1, MEMBER A1; AKR1A1	MONDO:excludeNonDisease	TRUE
OMIM:103850	ALDOLASE A, FRUCTOSE-BISPHOSPHATE; ALDOA	MONDO:excludeNonDisease	TRUE
OMIM:103870	ALDOLASE C, FRUCTOSE-BISPHOSPHATE; ALDOC	MONDO:excludeNonDisease	TRUE
OMIM:103880	ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1; AKR1B1	MONDO:excludeNonDisease	TRUE
OMIM:103950	ALPHA-2-MACROGLOBULIN; A2M	MONDO:excludeNonDisease	TRUE
OMIM:104145	AFAMIN; AFM	MONDO:excludeNonDisease	TRUE
OMIM:104150	ALPHA-FETOPROTEIN; AFP	MONDO:excludeNonDisease	TRUE
OMIM:104155	ZINC FINGER HOMEOBOX 3; ZFHX3	MONDO:excludeNonDisease	TRUE
OMIM:104160	GLUCOSIDASE, ALPHA, NEUTRAL AB; GANAB	MONDO:excludeNonDisease	TRUE
OMIM:104170	N-ACETYL-ALPHA-D-GALACTOSAMINIDASE; NAGA	MONDO:excludeNonDisease	TRUE
OMIM:104175	GLYCOPROTEIN, ALPHA-GALACTOSYLTRANSFERASE 1 PSEUDOGENE; GGTA1P	MONDO:excludeNonDisease	TRUE
OMIM:104180	GLUCOSIDASE, ALPHA, NEUTRAL C; GANC	MONDO:excludeNonDisease	TRUE
OMIM:104210	ALPHA-2A-ADRENERGIC RECEPTOR; ADRA2A	MONDO:excludeNonDisease	TRUE
OMIM:104219	ALPHA-1D-ADRENERGIC RECEPTOR; ADRA1D	MONDO:excludeNonDisease	TRUE
OMIM:104220	ALPHA-1B-ADRENERGIC RECEPTOR; ADRA1B	MONDO:excludeNonDisease	TRUE
OMIM:104221	ALPHA-1A-ADRENERGIC RECEPTOR; ADRA1A	MONDO:excludeNonDisease	TRUE
OMIM:104225	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN-ASSOCIATED PROTEIN 1; LRPAP1	MONDO:excludeNonDisease	TRUE
OMIM:104230	FUCOSYLTRANSFERASE 4; FUT4	MONDO:excludeNonDisease	TRUE
OMIM:104240	ST3 BETA-GALACTOSIDE ALPHA-2,3-SIALYLTRANSFERASE 4; ST3GAL4	MONDO:excludeNonDisease	TRUE
OMIM:104260	ALPHA-2B-ADRENERGIC RECEPTOR; ADRA2B	MONDO:excludeNonDisease	TRUE
OMIM:104311	PRESENILIN 1; PSEN1	MONDO:excludeNonDisease	TRUE
OMIM:104610	AMILORIDE-BINDING PROTEIN 1; ABP1	MONDO:excludeNonDisease	TRUE
OMIM:104613	CHAPERONIN CONTAINING T-COMPLEX POLYPEPTIDE 1, SUBUNIT 6A; CCT6A	MONDO:excludeNonDisease	TRUE
OMIM:104614	SOLUTE CARRIER FAMILY 3 (CYSTINE, DIBASIC, AND NEUTRAL AMINO ACID TRANSPORTER), MEMBER 1; SLC3A1	MONDO:excludeNonDisease	TRUE
OMIM:104615	SOLUTE CARRIER FAMILY 7 (CATIONIC AMINO ACID TRANSPORTER, y+ SYSTEM), MEMBER 1; SLC7A1	MONDO:excludeNonDisease	TRUE
OMIM:104620	AMINOACYLASE 1; ACY1	MONDO:excludeNonDisease	TRUE
OMIM:104640	AMPHIREGULIN; AREG	MONDO:excludeNonDisease	TRUE
OMIM:104650	AMYLASE, PANCREATIC, A; AMY2A	MONDO:excludeNonDisease	TRUE
OMIM:104660	AMYLASE, PANCREATIC, B; AMY2B	MONDO:excludeNonDisease	TRUE
OMIM:104700	AMYLASE, SALIVARY, A; AMY1A	MONDO:excludeNonDisease	TRUE
OMIM:104701	AMYLASE, SALIVARY, B; AMY1B	MONDO:excludeNonDisease	TRUE
